"genero","region","comuna","edad","nes","esc","esperanza","necesario","eval.acuerdo","mejor.pais","org.pol","org.econ","pos.politico","realidad","nueva.const","mecanismo"
"Mujer","RM","Santiago centro",25,3,18,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",2,4,4,4,"Aprueba","CC"
"Hombre","Los Lagos","Osorno",29,2,17,"De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo",2,7,3,5,"Aprueba","CC"
"Hombre","RM","Maipu",21,2,15,"Muy en desacuerdo","En desacuerdo","Muy en desacuerdo","Muy en desacuerdo",1,2,1,2,"No votara","No votara"
"Hombre","Tarapaca","Iquique ",47,1,26,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",5,10,2,5,"Aprueba","CC"
"Hombre","RM","El bosque",24,3,17,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",3,7,3,4,"Aprueba","CC"
"Hombre","Biobio","Coronel",32,3,18,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",5,6,5,4,"Aprueba","CC"
"Hombre","Valparaiso","Valparaíso",22,3,17,"Neutral","Muy de acuerdo","Muy en desacuerdo","En desacuerdo",2,6,1,6,"Aprueba","CC"
"Hombre","Valparaiso","Quilpué ",41,2,20,"De acuerdo","De acuerdo","Muy en desacuerdo","Muy de acuerdo",8,8,2,8,"Aprueba","CC"
"Hombre","RM","San Bernardo ",40,2,15,"Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",2,5,2,10,"Aprueba","CC"
"Hombre","RM","santiago",28,3,20,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",5,6,3,6,"Aprueba","CC"
"Hombre","RM","providencia",20,4,13,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",5,8,3,4,"Aprueba","CC"
"Hombre","Araucania","Temuco",28,4,17,"De acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",1,7,2,7,"Aprueba","CC"
"Hombre","Coquimbo","La Serems",44,3,20,"Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",4,8,3,3,"Aprueba","CC"
"Trans/No binario","Valparaiso","Villa Alemana",20,2,15,"Neutral","De acuerdo","De acuerdo","Muy de acuerdo",5,8,3,4,"Aprueba","CC"
"Mujer","Coquimbo","Coquimbo",21,3,14,"De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo",1,8,5,2,"Aprueba","CC"
"Hombre","Valparaiso","Limache",26,3,20,"De acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",4,6,3,5,"Aprueba","CC"
"Hombre","Valparaiso","Quilpué ",23,4,17,"De acuerdo","De acuerdo","Neutral","De acuerdo",8,10,3,5,"Aprueba","CC"
"Hombre","RM","Peñalolen",27,2,18,"En desacuerdo","Muy de acuerdo","Muy en desacuerdo","Neutral",1,5,1,10,"Aprueba","CC"
"Hombre","RM","Maipú",22,4,18,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",5,2,8,4,"Rechaza","CM"
"Hombre","Antofagasta","Antofagasta ",38,2,18,"Muy en desacuerdo","En desacuerdo","Muy en desacuerdo","Muy en desacuerdo",1,7,3,6,"Aprueba","CC"
"Hombre","RM","San Joaquin",25,2,17,"De acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo",8,10,1,10,"Aprueba","CC"
"Hombre","RM","Las Condes",24,4,17,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",3,4,4,6,"Rechaza","CC"
"Hombre","Ñuble","Coihueco",47,4,17,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",1,10,5,7,"Aprueba","CC"
"Otro","RM","Quilicura",18,3,12,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",1,10,3,5,"Aprueba","CC"
"Mujer","Valparaiso","los andes",21,3,15,"En desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",2,6,4,3,"Aprueba","CM"
"Hombre","RM","Santiago",23,3,17,"Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",5,8,4,8,"Aprueba","CC"
"Hombre","RM","Santiago Centro",20,3,15,"De acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",4,7,3,5,"Aprueba","CC"
"Hombre","Biobio","Coronel ",27,2,17,"Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo",1,10,1,5,"Aprueba","CC"
"Hombre","RM","Pudahuel sur",18,2,13,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",8,10,1,8,"No votara","No votara"
"Hombre","RM","San Miguel",26,4,18,"Neutral","Muy de acuerdo","En desacuerdo","De acuerdo",5,8,2,9,"Aprueba","CC"
"Hombre","Arica y Parinacota","Arica",20,2,14,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",3,5,4,8,"Aprueba","CC"
"Hombre","Araucania","temuco",25,3,19,"Neutral","Muy de acuerdo","Muy en desacuerdo","Neutral",5,8,1,3,"Aprueba","CC"
"Hombre","RM","san miguiel",33,4,20,"Neutral","Muy de acuerdo","En desacuerdo","Neutral",4,4,4,3,"Aprueba","CC"
"Hombre","Valparaiso","San Antonio ",22,3,15,"Muy en desacuerdo","De acuerdo","Muy en desacuerdo","Neutral",2,7,3,4,"Aprueba","CC"
"Hombre","Antofagasta","Antofagasta",29,3,19,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",5,10,10,10,"Rechaza","CM"
"Mujer","Valparaiso","Quilpué ",28,3,19,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",1,7,2,8,"Aprueba","CC"
"Hombre","RM","Santiago",26,4,19,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",1,10,2,1,"Aprueba","CC"
"Hombre","RM","Macul",24,4,17,"Neutral","Muy de acuerdo","En desacuerdo","De acuerdo",4,8,2,1,"Aprueba","CC"
"Hombre","RM","Santiago",35,4,18,"En desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",8,6,4,9,"Aprueba","CC"
"Hombre","RM","Las Condes",21,4,14,"De acuerdo","De acuerdo","En desacuerdo","Neutral",4,9,2,5,"Aprueba","CC"
"Hombre","Ñuble","Chillán",25,3,18,"Neutral","Muy de acuerdo","Muy en desacuerdo","De acuerdo",4,7,3,7,"Aprueba","CC"
"Prefiero no decirlo","RM","Huechuraba",31,2,18,"En desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo",2,8,3,2,"Aprueba","CC"
"Hombre","Los Rios","Valdivia",21,3,15,"Neutral","De acuerdo","En desacuerdo","Neutral",7,8,2,1,"Aprueba","CC"
"Mujer","RM","Buin",21,3,14,"En desacuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",3,7,3,4,"Aprueba","CC"
"Hombre","Biobio","Cabrero",24,1,15,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",5,10,2,4,"Aprueba","CC"
"Hombre","RM","La Florida",24,4,17,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",1,7,3,5,"Aprueba","CC"
"Hombre","RM","Conchali",25,2,17,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",1,10,4,1,"Aprueba","CM"
"Hombre","Biobio","HUALPEN",24,1,16,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",1,8,2,3,"Aprueba","CC"
"Mujer","RM","Las Condes",23,4,17,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",6,8,2,1,"Aprueba","CC"
"Hombre","RM","Provi",18,4,13,"Neutral","De acuerdo","Neutral","De acuerdo",2,7,3,4,"Aprueba","CC"
"Hombre","RM","Santiago",24,3,18,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",2,8,1,2,"Aprueba","CC"
"Hombre","Magallanes","Punta Arenas ",24,4,17,"En desacuerdo","Muy en desacuerdo","En desacuerdo","En desacuerdo",7,5,5,6,"Aprueba","CM"
"Hombre","RM","santiago",33,2,16,"Neutral","Muy de acuerdo","En desacuerdo","De acuerdo",6,8,3,3,"Aprueba","CC"
"Hombre","Valparaiso","Los andes",28,2,18,"En desacuerdo","Muy en desacuerdo","En desacuerdo","En desacuerdo",1,5,1,1,"Aprueba","CC"
"Prefiero no decirlo","RM","Macul",26,3,19,"Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","En desacuerdo",10,5,4,8,"Aprueba","CC"
"Hombre","RM","Ñuñoa",31,4,18,"De acuerdo","De acuerdo","En desacuerdo","De acuerdo",3,7,2,2,"Aprueba","CC"
"Hombre","Valparaiso","La Ligua",23,3,16,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",3,6,5,1,"Aprueba","CM"
"Hombre","RM","Independencia",34,5,16,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","En desacuerdo",5,5,1,5,"Aprueba","CC"
"Hombre","RM","Peñalolén",19,2,13,"Neutral","En desacuerdo","Muy en desacuerdo","Neutral",8,7,10,7,"Rechaza","CM"
"Mujer","RM","Estación central ",20,2,15,"Neutral","De acuerdo","En desacuerdo","De acuerdo",2,6,3,6,"Aprueba","CC"
"Hombre","RM","Las condes",24,4,16,"Neutral","Muy de acuerdo","En desacuerdo","Muy de acuerdo",1,8,1,4,"Aprueba","CC"
"Hombre","Los Lagos","Osorno",26,1,19,"En desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",5,1,5,1,"Aprueba","CC"
"Hombre","RM","Peñalolen ",29,2,24,"Muy de acuerdo","Muy de acuerdo","Neutral","De acuerdo",1,10,5,1,"Aprueba","CC"
"Hombre","RM","La florida",24,2,12,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",6,10,3,10,"Aprueba","CC"
"Hombre","RM","Maipú",21,3,16,"Neutral","Muy de acuerdo","En desacuerdo","Muy de acuerdo",3,8,2,3,"Aprueba","CC"
"Hombre","RM","quinta normal",27,2,16,"Neutral","Muy de acuerdo","En desacuerdo","Muy de acuerdo",4,8,3,5,"Aprueba","CC"
"Hombre","RM","quilicura",26,4,19,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",1,8,3,1,"Aprueba","CC"
"Hombre","RM","Macul",34,3,20,"Neutral","Muy de acuerdo","En desacuerdo","De acuerdo",1,6,1,4,"Aprueba","CC"
"Hombre","RM","Vitacura",24,4,19,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",2,7,3,4,"Aprueba","CC"
"Hombre","RM","Puente asalto",22,1,15,"De acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo",5,10,1,7,"Aprueba","CC"
"Hombre","RM","San José de Maipo",20,3,15,"Muy en desacuerdo","En desacuerdo","Muy en desacuerdo","Muy en desacuerdo",5,7,3,8,"Aprueba","CC"
"Prefiero no decirlo","RM","Pudahuel",19,3,14,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",1,6,1,6,"Aprueba","CC"
"Prefiero no decirlo","Tarapaca","La Reina",-1,1,29,"Neutral","Neutral","Neutral","Neutral",5,6,6,5,"Nulo o Blanco","Nulo o Blanco"
"Hombre","Valparaiso","Valparaíso",31,4,20,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",8,5,3,1,"Aprueba","CC"
"Hombre","Coquimbo","tongoy ",27,1,17,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",2,8,5,2,"Aprueba","CM"
"Hombre","RM","La florida",30,3,16,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",1,5,5,5,"Aprueba","CC"
"Hombre","Valparaiso","valpo",24,2,19,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",5,4,4,6,"Aprueba","CC"
"Hombre","RM","La Reina",22,5,17,"De acuerdo","De acuerdo","Neutral","De acuerdo",6,4,2,9,"Aprueba","CC"
"Mujer","RM","Las condes",25,3,16,"Neutral","Muy de acuerdo","En desacuerdo","Muy de acuerdo",6,6,6,3,"Aprueba","CM"
"Mujer","RM","Las condes",25,3,16,"Neutral","Muy de acuerdo","En desacuerdo","Muy de acuerdo",6,6,6,3,"Aprueba","CM"
"Hombre","Biobio","Hualpen",20,2,15,"En desacuerdo","Muy en desacuerdo","En desacuerdo","En desacuerdo",1,8,5,6,"Aprueba","CC"
"Hombre","RM","Maipú ",24,5,18,"Muy en desacuerdo","De acuerdo","Muy en desacuerdo","Neutral",7,10,1,10,"Aprueba","CC"
"Hombre","RM","Providencia",38,3,20,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",3,8,3,3,"Aprueba","CC"
"Hombre","RM","quilicura",23,2,17,"Neutral","Muy de acuerdo","En desacuerdo","De acuerdo",2,6,2,4,"Aprueba","CC"
"Mujer","RM","Santiago centro",24,3,17,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",4,6,6,3,"Aprueba","CC"
"Hombre","Tarapaca","Iquique",29,3,19,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",6,10,3,10,"Aprueba","CC"
"Hombre","RM","Ñuñoa",53,4,19,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",1,8,3,1,"Aprueba","Nulo o Blanco"
"Mujer","RM","La Florida ",38,3,18,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",5,9,3,2,"Aprueba","CC"
"Hombre","Biobio","Penco",31,3,17,"Neutral","Muy de acuerdo","Muy en desacuerdo","Neutral",3,6,3,8,"Aprueba","CC"
"Hombre","RM","Providencia",18,5,12,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",3,3,4,8,"Aprueba","CC"
"Hombre","RM","Puente Alto",20,3,14,"Neutral","Muy de acuerdo","En desacuerdo","De acuerdo",5,10,1,2,"Aprueba","CC"
"Hombre","RM","Maipu",19,3,14,"En desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",4,8,3,1,"Aprueba","CC"
"Hombre","RM","ñuñoa",31,3,17,"En desacuerdo","De acuerdo","Muy en desacuerdo","De acuerdo",7,10,1,9,"Aprueba","CC"
"Hombre","RM","Santiago ",22,3,16,"Neutral","De acuerdo","En desacuerdo","Neutral",1,8,1,5,"Aprueba","CC"
"Mujer","RM","Providencia",38,3,22,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",3,8,1,1,"Aprueba","CC"
"Hombre","Biobio","Hualpén",26,3,18,"De acuerdo","De acuerdo","En desacuerdo","De acuerdo",4,7,4,8,"Aprueba","CC"
"Hombre","Valparaiso","Quilpué",18,3,13,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",2,7,4,2,"Aprueba","CC"
"Hombre","RM","Puente Alto",20,4,15,"De acuerdo","De acuerdo","Neutral","De acuerdo",3,8,3,5,"Aprueba","CC"
"Mujer","Valparaiso","Quilpue",24,3,17,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",4,9,4,5,"Aprueba","CC"
"Hombre","RM","Puente alto",25,2,19,"Muy en desacuerdo","En desacuerdo","Muy en desacuerdo","En desacuerdo",4,8,4,6,"Aprueba","CC"
"Hombre","RM","Melipilla",41,2,16,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",1,10,2,4,"Aprueba","CC"
"Hombre","Valparaiso","San Felipe",30,2,18,"De acuerdo","De acuerdo","Muy en desacuerdo","Neutral",6,6,5,1,"Aprueba","CC"
"Mujer","Arica y Parinacota","Arica",25,2,17,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",3,6,5,1,"Aprueba","CC"
"Hombre","RM","Santiago",26,3,18,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",5,7,5,5,"Aprueba","CC"
"Hombre","Coquimbo","La Serena",35,3,18,"Muy en desacuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo",1,6,1,3,"Aprueba","CC"
"Hombre","RM","La granja ",34,2,20,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","En desacuerdo",1,10,4,1,"Aprueba","CC"
"Hombre","Valparaiso","Villa Alemana",22,5,16,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",3,5,3,5,"Aprueba","CC"
"Hombre","RM","San Joaquin",24,3,17,"En desacuerdo","En desacuerdo","Muy en desacuerdo","Neutral",3,9,1,5,"Aprueba","CM"
"Prefiero no decirlo","Coquimbo","La Serena ",28,2,16,"En desacuerdo","En desacuerdo","Muy en desacuerdo","En desacuerdo",1,10,1,1,"Aprueba","CC"
"Mujer","Araucania","Temuco ",20,2,15,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",4,6,3,7,"Aprueba","CC"
"Hombre","RM","Talagante",22,3,17,"Neutral","De acuerdo","De acuerdo","De acuerdo",7,3,6,8,"Aprueba","CC"
"Hombre","Biobio","Los Angeles",20,3,13,"Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo",1,1,1,1,"Aprueba","CC"
"Hombre","Biobio","Chiguayante ",20,3,15,"De acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo",4,4,4,7,"Aprueba","CC"
"Hombre","Valparaiso","Viña del mar",21,2,16,"En desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",8,10,2,8,"Aprueba","Nulo o Blanco"
"Hombre","Araucania","Temuco warria",39,3,18,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",2,8,2,2,"Aprueba","CC"
"Hombre","RM","Recoleta",26,3,16,"En desacuerdo","En desacuerdo","En desacuerdo","Neutral",1,5,1,1,"Nulo o Blanco","Nulo o Blanco"
"Hombre","RM","Recoleta",28,3,18,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",7,7,4,5,"Aprueba","CC"
"Hombre","RM","macul",35,2,18,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",5,1,5,7,"Rechaza","CM"
"Hombre","Biobio","Concepción",27,2,19,"En desacuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo",7,5,4,6,"Aprueba","CC"
"Hombre","RM","Peñalolén",25,3,17,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",4,8,3,9,"Aprueba","CC"
"Hombre","Valparaiso","Olmue",22,3,16,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",5,10,3,10,"Aprueba","CC"
"Mujer","Araucania","Padre Las Casas",49,2,13,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",5,8,2,5,"Aprueba","CC"
"Hombre","RM","San Joaquin",22,2,14,"De acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",3,8,3,1,"Aprueba","CM"
"Hombre","Ohiggins","San Vicente",22,3,15,"Muy en desacuerdo","En desacuerdo","Muy en desacuerdo","Muy en desacuerdo",1,4,3,3,"Aprueba","CC"
"Mujer","Antofagasta","Antofagasta",19,4,13,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",7,1,6,1,"No votara","No votara"
"Hombre","RM","Ñuñoa",19,3,12,"Muy de acuerdo","Muy de acuerdo","De acuerdo","De acuerdo",5,7,4,1,"Aprueba","CC"
"Hombre","RM","Quinta Normal",24,4,17,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",4,7,3,6,"Aprueba","CC"
"Hombre","RM","La Florida",18,3,12,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",3,8,3,5,"Aprueba","CC"
"Hombre","Coquimbo","Ovalle ",25,3,18,"Neutral","Muy de acuerdo","En desacuerdo","En desacuerdo",1,6,1,2,"No votara","No votara"
"Hombre","RM","San Bernardo",24,3,17,"De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",4,7,4,1,"Aprueba","CC"
"Hombre","Los Lagos","Osorno",26,2,19,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",5,10,5,5,"Aprueba","CM"
"Hombre","RM","Ñuñoa",31,3,20,"Neutral","Muy de acuerdo","Muy en desacuerdo","De acuerdo",2,7,3,5,"Aprueba","CC"
"Mujer","Coquimbo","La Serena",19,2,14,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",9,5,2,1,"Aprueba","CM"
"Mujer","RM","Cerrillos",38,2,18,"Neutral","Muy de acuerdo","En desacuerdo","De acuerdo",1,5,6,10,"Aprueba","CM"
"Hombre","Biobio","Chiguayante ",18,3,12,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",3,9,2,10,"Aprueba","CC"
"Hombre","RM","La Florida",73,4,18,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",6,8,3,9,"Aprueba","CM"
"Hombre","RM","La Cisterna",29,2,20,"Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",3,7,3,6,"Aprueba","CC"
"Hombre","Los Lagos","Osorno",34,2,17,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",3,10,5,5,"Aprueba","CC"
"Mujer","RM","Las condes ",52,3,20,"De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo",7,8,5,4,"Aprueba","CC"
"Mujer","Los Lagos","Osorno",32,3,19,"Neutral","Muy de acuerdo","En desacuerdo","Neutral",3,5,3,10,"Aprueba","CC"
"Hombre","RM","Santiago ",36,3,20,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",8,3,7,4,"Rechaza","CM"
"Hombre","Antofagasta","Calama",26,2,19,"En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo",9,9,1,1,"No votara","No votara"
"Hombre","RM","Ñuñoa ",51,4,19,"Muy de acuerdo","Muy de acuerdo","Neutral","De acuerdo",4,7,3,4,"Aprueba","CC"
"Hombre","RM","La Pintana",20,3,15,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",7,9,3,6,"Aprueba","CC"
"Mujer","RM","Ñuñoa",35,3,16,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",2,4,4,2,"Aprueba","CC"
"Mujer","RM","La.florida",53,2,12,"De acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",7,10,4,10,"Aprueba","CC"
"Hombre","RM","Maipú",31,4,19,"Muy en desacuerdo","En desacuerdo","De acuerdo","Muy en desacuerdo",9,4,5,10,"Rechaza","CC"
