INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Me siento muy esperanzado por el cambio de la constitución];INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Creo que el cambio constitucional es necesario para avanzar en materia de derechos y justicia social];INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Creo que el acuerdo para el cambio constitucional fue justo y transparente];INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Confío en que una nueva constitución nos hará un mejor país a la larga];"ANTE LA PREGUNTA ""¿QUIERE USTED UNA NUEVA CONSTITUCIÓN?"" USTED...";"ANTE LA PREGUNTA ""¿QUÉ TIPO DE ÓRGANO DEBIERA REDACTAR LA NUEVA CONSTITUCIÓN?"" USTED...";GENERO;REGIÓN DONDE VIVES;COMUNA ;EDAD;SI TUVIERAS QUE POSICIONAR TU NIVEL SOCIOECONÓMICO DIRÍAS QUE ES...;LA MEJOR FORMA DE ORGANIZACIÓN POLÍTICA ES CON UNA ORGÁNICA DE TIPO;"RESPECTO A ""LA REALIDAD"" COMO TAL, PODEMOS DECIR QUE";LA MEJOR FORMA DE ORGANIZACIÓN ECONÓMICA ES CON UN MERCADO;SI TUVIERA QUE AUTOPOSICIONARSE IDEOLÓGICAMENTE DIRÍA QUE USTED ES DE;¿CUANTOS AÑOS DE EDUCACIÓN FORMAL ACUMULA HASTA ÉSTE MOMENTO? (sumando educación básica, media, técnica, universitaria, y postgrados). 
Muy de acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Colina;20;2;5;4;7;5;14
De acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Santiago ;34;5;4;7;10;3;19
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;VII Región del Maule;Cauquenes ;18;3;5;9;10;1;12
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Quinta normal;28;4;1;1;10;1;18
Neutral;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Viña del mar;21;4;3;6;8;2;15
De acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Valparaíso;33;3;6;7;6;3;19
Neutral;De acuerdo;Muy en desacuerdo;Neutral;NO IRÁ A VOTAR;NO IRÁ A VOTAR;Hombre;Región Metropolitana de Santiago;quinta normal;33;2;1;1;9;1;16
Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VII Región del Maule;Linares;21;3;3;3;9;3;16
En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;San Joaquín;26;4;3;4;8;1;18
De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Concepción;34;3;3;5;8;3;19
De acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Huechuraba;24;4;7;7;7;3;18
De acuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Quinta Normal ;17;2;3;3;7;1;12
De acuerdo;En desacuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Puente Alto;20;3;9;6;7;2;15
En desacuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;XV Región de Arica y Parinacota;Arica;26;3;5;4;6;3;14
De acuerdo;Muy de acuerdo;Neutral;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Mujer;Región Metropolitana de Santiago;Recoleta ;26;2;1;1;5;5;16
Neutral;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Lo Espejo;35;3;3;4;8;2;18
Muy de acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Las Condes;29;3;4;9;5;4;19
De acuerdo;De acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;ñuñoa;22;4;4;4;6;3;16
Neutral;De acuerdo;Neutral;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Santiago;24;4;4;3;4;5;18
De acuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Lo Prado;23;2;4;5;8;3;17
Neutral;Muy de acuerdo;Muy en desacuerdo;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;VIII Región del Biobío;Chiguayante ;31;2;1;5;8;3;18
De acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Estación central;20;2;3;10;10;1;15
Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;IX Región de La Araucanía;Temuco;26;3;3;8;9;3;21
De acuerdo;De acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;II Región de Antofagasta;Antofagasta ;28;3;3;6;4;3;18
En desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Independencia;28;2;5;3;8;3;17
De acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Los Andes;26;4;3;5;8;3;20
Neutral;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Macul;25;4;4;5;6;3;17
De acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;San Antonio ;16;3;7;2;10;2;11
Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Santiago Centro;21;2;1;3;7;1;13
Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;VIII Región del Biobío;Concepción;26;1;6;6;9;3;17
Neutral;De acuerdo;En desacuerdo;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Ñuñoa;36;4;6;1;5;3;24
De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Concepción;2722;1;4;5;8;2;22
Neutral;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Macul;23;2;6;7;10;2;15
De acuerdo;De acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Cerrillos;22;3;4;4;5;4;14
De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;II Región de Antofagasta;Calama;21;3;6;3;5;3;15
De acuerdo;De acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;La Reina;23;4;3;5;8;2;17
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""NULO O BLANCO""";Hombre;Región Metropolitana de Santiago;santiago centro;25;4;1;2;8;4;19
En desacuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Quilicura;28;2;1;10;9;2;19
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Estación Central ;24;4;6;4;7;3;17
En desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Maipu;19;2;4;7;8;3;13
De acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Peñalolen;27;4;1;9;10;2;18
En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;VIII Región del Biobío;Chiguayante ;25;5;4;4;2;8;19
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;San Bernardo;30;2;7;10;5;5;15
Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;la Florida;31;2;7;10;5;6;14
Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;La granja;25;2;9;5;9;8;12
De acuerdo;De acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Concepcion;28;3;5;5;8;3;18
En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;X Región de Los Lagos;Puerto varas;28;2;2;2;9;2;20
Neutral;De acuerdo;Muy en desacuerdo;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VI Región del Libertador General Bernardo O’Higgins;Graneros;23;2;1;4;4;1;17
Muy en desacuerdo;Neutral;Muy en desacuerdo;Muy en desacuerdo;NO IRÁ A VOTAR;"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Puente Alto;20;2;1;4;5;1;14
Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Conchali;21;3;4;6;6;4;16
Neutral;De acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Pudahuel Sur;23;2;1;5;5;2;19
Neutral;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Ñuñoa;23;2;1;5;9;1;16
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;San Joaquín ;21;3;1;1;10;1;15
De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Trans/No binario;Región Metropolitana de Santiago;La florida;23;2;3;4;9;3;16
De acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Pudahuel ;22;4;1;3;7;1;16
De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;San Bernardo;38;2;4;4;8;3;18
En desacuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;Región Metropolitana de Santiago;Estacion central;30;3;10;10;2;9;18
Muy en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VI Región del Libertador General Bernardo O’Higgins;Rancagua;26;4;10;10;10;1;19
De acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;San Bernardo;24;2;8;4;8;3;15
Neutral;Muy de acuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Maipú;21;3;9;5;8;2;14
De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Valparaíso ;29;2;4;3;5;3;19
Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Concón;21;3;1;5;7;4;15
Muy en desacuerdo;Muy de acuerdo;Muy en desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Viña del mar;29;3;1;1;10;1;19
De acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Huechuraba;29;2;5;5;8;3;15
De acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Ñuñoa ;31;3;3;3;8;3;20
Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""NULO O BLANCO""";Hombre;II Región de Antofagasta;Calama;0;1;10;9;5;6;18
De acuerdo;De acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;IV Región de Coquimbo;La Serena;37;5;4;4;8;4;22
Neutral;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;X Región de Los Lagos;Castro;25;2;3;5;9;2;17
Neutral;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VII Región del Maule;Parral;26;3;1;3;8;3;18
De acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;V Región de Valparaíso;Viña del mar;37;3;3;7;8;2;18
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Peñalolen;25;1;3;7;6;4;18
De acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Trans/No binario;VIII Región del Biobío;Concepción ;20;3;1;3;4;3;13
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Puente alto;21;1;1;1;1;1;14
De acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;ñuñoa;28;3;4;5;8;4;21
De acuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;X Región de Los Lagos;Fresia ;25;2;1;5;8;3;18
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Pintana;27;1;1;6;6;5;21
En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Santiago;26;4;7;10;4;4;19
De acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Pudahuel;16;3;4;3;7;4;11
De acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Quilicura ;20;2;5;4;10;1;14
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Santiago;27;3;3;4;8;4;17
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Quilicura ;28;1;5;8;10;2;14
En desacuerdo;De acuerdo;De acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Puente Alto;27;2;4;7;3;8;16
Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;VII Región del Maule;Parral;33;3;6;5;10;8;17
Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;XVI Región de Ñuble;Quillón;21;3;3;8;2;8;15
